ACCTG_YR,ACCTG_WK,DTR_DATE,SHIPDATE,STORE_NUM,SUPPLIER_NAME,ORDER_NUM,SKU,PART_NUM,SRC_SELL,STR_SELL,SRC_COST,QUANTITY,BATCH_NUM,IM_SUB_NUMBER,IM_SUB_ITEMNUMBER,SUBCOST,SUBSELLPRICE,DTR_PART_KEY,SUB_PART_KEY,ITM_QTY,GL_QTY_VS_DTR_QTY,CST_AMT_TXT,GL_COST_VS_DTR_COST,SELL_AMT_TXT,GL_SELL_VS_DTR_SELL,KEY,TRACKINGNUMBER,ORD_NO,SHIPPED_QTY,PRONUMBER,KEY2,UPS_BILLING_KEY,EXTENDED_COST,DELIVERY_DT1,DISPOSITION,RECEIVED_QTY
2020,34,2020-09-22,2020-09-21,08184,Royersford,7641983T,022364WB24X10205,WB24X10205,56.38,56.38,21.60,1,5,,,,,7641983T_022364WB24X10205,,1,0,21.6,0,56.38,0,08184-7641983T-022364WB24X10205-1,1ZA356X70372334355,79393329,1,,8976-79393329-022364WB24X10205-1,008184-098-07641983T,21.60,,RI,1
2020,48,2020-12-30,2020-12-29,08158,HI,7734128T,02611080040,80040,2.19,2.19,0.60,1,7,,,,,7734128T_02611080040,,1,0,0.6,0,2.19,0,08158-7734128T-02611080040-1,1Z6W74600300084009,80865477,1,,8958-80865477-02611080040-1,008158-098-07734128T,0.60,,RI,1
2021,23,2021-07-05,2021-07-02,08935,PR,7883162T,0264175303281153,5303281153,29.85,29.85,9.39,1,6,,,,,7883162T_0264175303281153,,1,0,9.39,0,29.85,0,08935-7883162T-0264175303281153-1,420048272,83318483,1,,8842-83318483-0264175303281153-1,008935-098-07883162T,9.39,,RI,1
2021,27,2021-08-02,2021-07-31,08380,Royersford,7919769T,071917169022,169022,2.99,2.99,0.99,1,5,,,,,7919769T_071917169022,,1,0,0.99,0,2.99,0,08380-7919769T-071917169022-1,1ZA356X70346543722,83893401,1,,8976-83893401-071917169022-1,008380-098-07919769T,0.99,,RI,1
2020,20,2020-06-19,2020-06-18,07084,Royersford,7542067T,026363WE3M26,WE3M26,38.79,38.79,14.61,1,5,,,,,7542067T_026363WE3M26,,1,0,14.61,0,38.79,0,07084-7542067T-026363WE3M26-1,,,,,,007084-098-07542067T,,,,
2020,29,2020-08-17,2020-08-15,08147,Royersford,7616773T,022402DD97-00131A,DD97-00131A,65.58,65.58,34.16,1,5,,,,,7616773T_022402DD97-00131A,,1,0,34.16,0,65.58,0,08147-7616773T-022402DD97-00131A-1,1ZA356X70370876532,79041272,1,,8976-79041272-022402DD97-00131A-1,008147-098-07616773T,34.16,,RI,1
2021,11,2021-04-12,2021-04-09,07435,Royersford,7797173T,022401DE96-00269A,DE96-00269A,35.79,35.79,18.11,1,5,,,,,7797173T_022401DE96-00269A,,1,0,18.11,0,35.79,0,07435-7797173T-022401DE96-00269A-1,1ZA356X70340931519,82072185,1,,8976-82072185-022401DE96-00269A-1,007435-098-07797173T,18.11,,RI,1
2020,52,2021-01-25,2021-01-23,08184,Royersford,7753552T,071247712-04063,712-04063,3.96,3.96,1.73,1,5,,,,,7753552T_071247712-04063,,1,0,1.73,0,3.96,0,08184-7753552T-071247712-04063-1,1ZA356X70377396271,81202588,1,,8976-81202588-071247712-04063-1,008184-098-07753552T,1.73,,RI,1
2020,36,2020-10-05,2020-10-03,08228,Cerritos,7640985T,0226285304509459,5304509459,27.60,27.60,11.70,1,1,,,,,7640985T_0226285304509459,,1,0,11.7,0,27.6,0,08228-7640985T-0226285304509459-1,1Z9Y96E60301596745,79525239,1,,8964-79525239-0226285304509459-1,008228-098-07640985T,11.70,,RI,3
2020,50,2021-01-15,2021-01-14,07744,Royersford,7739378T,046253297286803,297286803,26.78,26.78,10.71,1,5,,,,,7739378T_046253297286803,,1,0,10.71,0,26.78,0,07744-7739378T-046253297286803-1,1ZA356X70376960644,80983725,1,,8976-80983725-046253297286803-1,007744-098-07739378T,10.71,,RI,1
2021,8,2021-03-26,2021-03-25,08206,Royersford,7791562T,0261103360629,3360629,152.45,152.45,93.85,1,5,,,,,7791562T_0261103360629,,1,0,93.85,0,152.45,0,08206-7791562T-0261103360629-1,1ZA356X70340247296,81810365,1,,8976-81810365-0261103360629-1,008206-098-07791562T,93.85,,RI,1
2020,19,2020-06-12,2020-06-11,08185,Royersford,7543916T,02611080040,80040,2.19,2.19,0.60,1,5,,,,,7543916T_02611080040,,1,0,0.6,0,2.19,0,08185-7543916T-02611080040-1,1ZA356X70367900707,77995623,1,,8976-77995623-02611080040-1,008185-098-07543916T,0.60,,RI,1
